"Step","distinctive-deluge-42 - rollout/success_rate","distinctive-deluge-42 - rollout/success_rate__MIN","distinctive-deluge-42 - rollout/success_rate__MAX"
"213000","0","0","0"
"214000","0","0","0"
"215000","0","0","0"
"216000","0","0","0"
"217000","0","0","0"
"218000","0","0","0"
"219000","0","0","0"
"220000","0","0","0"
"221000","0","0","0"
"222000","0","0","0"
"223000","0","0","0"
"224000","0","0","0"
"225000","0","0","0"
"226000","0","0","0"
"227000","0","0","0"
"228000","0","0","0"
"229000","0","0","0"
"230000","0","0","0"
"231000","0.25","0.25","0.25"
"232000","0","0","0"
"233000","0","0","0"
"234000","0","0","0"
"235000","0","0","0"
"236000","0","0","0"
"237000","0","0","0"
"238000","0","0","0"
"239000","0","0","0"
"240000","0","0","0"
"241000","0","0","0"
"242000","0","0","0"
"243000","0","0","0"
"244000","0","0","0"
"245000","0","0","0"
"246000","0","0","0"
"247000","0","0","0"
"248000","0","0","0"
"249000","0","0","0"
"250000","0.2","0.2","0.2"
"251000","0","0","0"
"252000","0","0","0"
"253000","0","0","0"
"254000","0","0","0"
"255000","0","0","0"
"256000","0","0","0"
"257000","0.25","0.25","0.25"
"258000","0","0","0"
"259000","0","0","0"
"260000","0","0","0"
"261000","0","0","0"
"262000","0","0","0"
"263000","0","0","0"
"264000","0","0","0"
"265000","0","0","0"
"266000","0.2","0.2","0.2"
"267000","0","0","0"
"268000","0","0","0"
"269000","0","0","0"
"270000","0","0","0"
"271000","0","0","0"
"272000","0","0","0"
"273000","0","0","0"
"274000","0","0","0"
"275000","0","0","0"
"276000","0","0","0"
"277000","0.25","0.25","0.25"
"278000","0.2","0.2","0.2"
"279000","0","0","0"
"280000","0","0","0"
"281000","0","0","0"
"282000","0","0","0"
"283000","0","0","0"
"284000","0","0","0"
"285000","0","0","0"
"286000","0","0","0"
"287000","0","0","0"
"288000","0","0","0"
"289000","0","0","0"
"290000","0","0","0"
"291000","0","0","0"
"292000","0","0","0"
"293000","0","0","0"
"294000","0","0","0"
"295000","0","0","0"
"296000","0.25","0.25","0.25"
"297000","0","0","0"
"298000","0","0","0"
"299000","0","0","0"
"300000","0","0","0"
"301000","0","0","0"
"302000","0","0","0"
"303000","0","0","0"
"304000","0","0","0"
"305000","0","0","0"
"306000","0","0","0"
"307000","0","0","0"
"308000","0","0","0"
"309000","0","0","0"
"310000","0","0","0"
"311000","0","0","0"
"312000","0","0","0"
"313000","0","0","0"
"314000","0","0","0"
"315000","0","0","0"
"316000","0","0","0"
"317000","0.25","0.25","0.25"
"318000","0","0","0"
"319000","0","0","0"
"320000","0","0","0"
"321000","0","0","0"
"322000","0","0","0"
"323000","0","0","0"
"324000","0","0","0"
"325000","0","0","0"
"326000","0","0","0"
"327000","0","0","0"
"328000","0","0","0"
"329000","0","0","0"
"330000","0","0","0"
"331000","0","0","0"
"332000","0","0","0"
"333000","0","0","0"
"334000","0","0","0"
"335000","0","0","0"
"336000","0","0","0"
"337000","0","0","0"
"338000","0","0","0"
"339000","0","0","0"
"340000","0","0","0"
"341000","0","0","0"
"342000","0","0","0"
"343000","0","0","0"
"344000","0","0","0"
"345000","0","0","0"
"346000","0.2","0.2","0.2"
"347000","0","0","0"
"348000","0","0","0"
"349000","0","0","0"
"350000","0","0","0"
"351000","0","0","0"
"352000","0","0","0"
"353000","0","0","0"
"354000","0","0","0"
"355000","0.2","0.2","0.2"
"356000","0","0","0"
"357000","0","0","0"
"358000","0","0","0"
"359000","0","0","0"
"360000","0","0","0"
